propositions,clauses,result,DPLL calls,L/N ratio,solve time
32,172,False,20575,5.4,6.889383554458618
34,183,False,42273,5.4,15.051150560379028
36,194,True,3960,5.4,1.281831979751587
38,205,False,116966,5.4,43.06636643409729
40,216,False,155484,5.4,61.59846305847168
10,56,False,52,5.6,0.0
12,67,False,43,5.6,0.0069162845611572266
14,78,True,44,5.6,0.0
16,89,True,136,5.6,0.016011953353881836
18,100,False,399,5.6,0.08479952812194824
20,112,False,1636,5.6,0.3169066905975342
22,123,False,1197,5.6,0.28380608558654785
24,134,False,3979,5.6,1.1356980800628662
26,145,False,4291,5.6,1.2794671058654785
28,156,False,6950,5.6,1.879272222518921
30,168,False,12741,5.6,4.654785633087158
32,179,False,22578,5.6,7.842397689819336
34,190,False,27047,5.6,10.163615226745605
36,201,False,50025,5.6,22.005189180374146
38,212,False,126324,5.6,47.208800315856934
40,224,False,78390,5.6,31.348915100097656
42,235,False,380465,5.6,164.53719019889832
10,58,False,48,5.800000000000001,0.008077383041381836
12,69,False,96,5.800000000000001,0.01495218276977539
14,81,False,134,5.800000000000001,0.026194334030151367
16,92,False,234,5.800000000000001,0.0563664436340332
18,104,False,277,5.800000000000001,0.06692337989807129
20,116,False,522,5.800000000000001,0.13126468658447266
22,127,False,1632,5.800000000000001,0.4323768615722656
24,139,False,2779,5.800000000000001,0.7282187938690186
26,150,False,1621,5.800000000000001,0.5667586326599121
28,162,False,3692,5.800000000000001,1.216536521911621
30,174,False,9608,5.800000000000001,3.3006417751312256
32,185,False,12131,5.800000000000001,4.620376110076904
34,197,False,37215,5.800000000000001,14.676807880401611
36,208,False,43778,5.800000000000001,18.037235736846924
38,220,False,113847,5.800000000000001,48.64095687866211
40,232,False,106199,5.800000000000001,50.14171123504639
10,30,True,18,3.0,0.0009877681732177734
12,36,True,12,3.0,0.01494455337524414
14,42,True,12,3.0,0.0010006427764892578
16,48,True,125,3.0,0.0
18,54,True,54,3.0,0.0
20,60,True,639,3.0,0.03511691093444824
22,66,True,222,3.0,0.01927018165588379
24,72,True,185,3.0,0.012577295303344727
26,78,True,2278,3.0,0.2145233154296875
28,84,True,247,3.0,0.033341407775878906
