propositions,clauses,result,DPLL calls,L/N ratio,solve time
183,549,True,168,3.0,0.30057835578918457
186,558,True,330,3.0,0.7519960403442383
181,543,True,1058,3.0,0.9826633930206299
184,552,True,1861,3.0,1.8954813480377197
187,561,True,173,3.0,0.3315272331237793
190,570,True,175,3.0,0.5456759929656982
193,579,True,11205,3.0,18.067394971847534
196,588,True,1926,3.0,3.367565631866455
199,597,True,222,3.0,0.47066664695739746
202,606,True,2055,3.0,3.8517062664031982
205,615,True,199,3.0,0.39585328102111816
208,624,True,304,3.0,0.8231070041656494
211,633,True,10223,3.0,16.9208824634552
198,594,True,1436,3.0,1.4874112606048584
201,603,True,194,3.0,0.3788158893585205
204,612,True,546,3.0,1.2778050899505615
199,597,True,9731,3.0,16.46026039123535
202,606,True,191,3.0,0.5837469100952148
205,615,True,280,3.0,0.5503497123718262
208,624,True,1422,3.0,2.704685688018799
195,585,True,195,3.0,0.3643605709075928
198,594,True,6638,3.0,11.216615438461304
201,603,True,262,3.0,0.4659712314605713
204,612,True,244,3.0,0.6613972187042236
207,621,True,189,3.0,0.4021749496459961
210,630,True,1026,3.0,1.905933141708374
205,615,True,14739,3.0,27.983364820480347
208,624,True,232,3.0,0.470034122467041
203,609,True,787,3.0,1.1163253784179688
206,618,True,255,3.0,0.6767935752868652
201,603,True,756,3.0,0.9101428985595703
204,612,True,235,3.0,0.6836061477661133
207,621,True,287,3.0,0.5498225688934326
210,630,True,259,3.0,0.7274055480957031
213,639,True,262,3.0,0.5640244483947754
208,624,True,314,3.0,0.7667534351348877
203,609,True,1946,3.0,3.133521795272827
206,618,True,224,3.0,0.6855735778808594
209,627,True,189,3.0,0.40572166442871094
204,612,True,233,3.0,0.47963547706604004
207,621,True,3742,3.0,6.799617528915405
194,582,True,361,3.0,0.684760332107544
189,567,True,186,3.0,0.34764957427978516
192,576,True,413,3.0,1.2349801063537598
187,561,True,1457,3.0,2.463714361190796
190,570,True,433,3.0,0.8503141403198242
193,579,True,929,3.0,2.5476155281066895
180,540,True,188,3.0,0.9925158023834229
167,501,True,1350,3.0,3.1161906719207764
170,510,True,174,3.0,1.1488089561462402
173,519,True,3272,3.0,11.162821531295776
